strategy,target,protocol,model,status,n_samples,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
basic,A,temporal,LightGBM,ok,977,920,57,2000,2020,2021,2026,0.15875315696376102,0.08254959566064402,14.877620067719613,7.7934589795201665,52.672589177945724
basic,B,temporal,WeightedEnsemble,ok,977,920,57,2000,2020,2021,2026,0.46015588938894714,0.32132404454584673,2.63925898188425,1.2634619454634959,334.56357438055477
basic,C,temporal,RF,ok,977,920,57,2000,2020,2021,2026,-0.057182398794071165,-0.36609240825596046,37.237985279322,27.379177209513774,76.36545079949227
basic,D,temporal,PLSR,ok,977,920,57,2000,2020,2021,2026,0.1580116946176996,0.21348852828566955,39.44035839460916,16.39012909671064,37.31522045981125
basic,E,temporal,NGBoost,ok,977,920,57,2000,2020,2021,2026,0.41121390567416527,0.1270222693614983,15.190732537212144,8.758247172597484,27.265004117356057
basic,F,temporal,LightGBM,ok,977,920,57,2000,2020,2021,2026,-0.020120075656539838,-0.25151274043329597,970.0137485543306,209.76889642336215,59.23782275176336
basic,G,temporal,CatBoost,ok,977,920,57,2000,2020,2021,2026,-0.8991673913334433,-0.5285811514853274,54.484144282659685,34.687184364243535,52.65617090889103
basic,H,temporal,NGBoost,ok,977,920,57,2000,2020,2021,2026,0.11382465393559693,0.13767713848325924,0.7487955906449283,0.2219937742403178,190.73655374865567
quality,A,temporal,LightGBM,ok,972,915,57,2000,2020,2021,2026,0.2645018258554941,0.15025401651605685,13.911134179363685,7.52808028071739,51.188661584218345
quality,B,temporal,WeightedEnsemble,ok,972,915,57,2000,2020,2021,2026,0.4791412776855275,0.3504170851819557,2.5924345151620862,1.2700053095265547,349.1961329763319
quality,C,temporal,RF,ok,972,915,57,2000,2020,2021,2026,-0.07290228523540776,-0.3879651585666619,37.513820768743194,27.728152680777296,77.17139801662157
quality,D,temporal,PLSR,ok,972,915,57,2000,2020,2021,2026,0.17702150897469993,0.23272292651169968,38.99258839824393,16.314160887855817,37.3061687637671
quality,E,temporal,PLSR,ok,972,915,57,2000,2020,2021,2026,0.3617345819020017,0.21197610524836286,15.816143701524291,8.434954737829894,26.341107697387773
quality,F,temporal,HistGBR,ok,972,915,57,2000,2020,2021,2026,-0.01983552781710385,-0.32546869022189684,969.8784534193396,211.01992215464537,60.63075853821179
quality,G,temporal,CatBoost,ok,972,915,57,2000,2020,2021,2026,-1.1915167624447425,-0.5961200717121347,58.52762623348741,35.78146580122178,53.65029093970384
quality,H,temporal,NGBoost,ok,972,915,57,2000,2020,2021,2026,0.1448178791649397,0.21211222598803714,0.7355848108410443,0.20790299396816014,167.40112686326233
quality_target_mild,A,temporal,ElasticNet,ok,814,772,42,2000,2020,2021,2026,0.0015507683048920917,-0.08649256653140158,4.8729233568219055,3.941884854864634,46.452815769795194
quality_target_mild,B,temporal,CatBoost,ok,814,772,42,2000,2020,2021,2026,0.2158016108653119,0.17057745493666288,0.4597299032987398,0.31436685954063837,196.8485343654297
quality_target_mild,C,temporal,RF,ok,814,772,42,2000,2020,2021,2026,-0.9803207852188733,-1.3739306471414099,24.976424515752498,22.699865621209238,83.42212451611181
quality_target_mild,D,temporal,ExtraTrees,ok,814,772,42,2000,2020,2021,2026,0.15180383200461922,0.20073482285313238,13.131282402196383,7.807499436824616,21.37491507786371
quality_target_mild,E,temporal,ExtraTrees,ok,814,772,42,2000,2020,2021,2026,0.08690458513990895,0.09769979128399597,5.275536489809986,3.529067342906059,10.594703174497743
quality_target_mild,F,temporal,LightGBM,ok,814,772,42,2000,2020,2021,2026,-0.8544141386068453,-1.1720462746086557,51.85898720420109,42.34522647295942,44.51184685440916
quality_target_mild,G,temporal,CatBoost,ok,814,772,42,2000,2020,2021,2026,-0.20744582930781696,-0.4260693375956295,30.36301152335394,18.618836224309167,26.801706291803164
quality_target_mild,H,temporal,NGBoost,ok,814,772,42,2000,2020,2021,2026,0.3637908480943224,0.3698201306715492,0.05442125818249145,0.03654430414304046,97.88393746530214
quality_target_strict,A,temporal,ElasticNet,ok,782,742,40,2000,2020,2021,2026,0.016518121656772466,-0.0054600534830420155,4.839272345708916,3.839791647519713,42.332621126516614
quality_target_strict,B,temporal,ElasticNet,ok,782,742,40,2000,2020,2021,2026,0.24326831379084723,0.16982328135993874,0.46093281844060024,0.33977530037594866,212.83090478812184
quality_target_strict,C,temporal,RF,ok,782,742,40,2000,2020,2021,2026,-0.9386412523327201,-1.274733027574412,25.193165524279955,22.623413250344576,82.6886889766692
quality_target_strict,D,temporal,ElasticNet,ok,782,742,40,2000,2020,2021,2026,0.23899278390236955,0.20435969736822612,12.686147127507823,7.98995638723707,22.549090479193417
quality_target_strict,E,temporal,ExtraTrees,ok,782,742,40,2000,2020,2021,2026,0.05088263061285536,0.05140471101766553,5.349601558622865,3.6598887926952473,11.024521561840976
quality_target_strict,F,temporal,LightGBM,ok,782,742,40,2000,2020,2021,2026,-1.1783293265570212,-1.4649918929932895,53.975324475698685,43.66530492581026,45.84549175350007
quality_target_strict,G,temporal,ExtraTrees,ok,782,742,40,2000,2020,2021,2026,-0.08795558048557095,-0.2749114725216857,28.649755652808416,17.92605400164474,23.897314329698208
quality_target_strict,H,temporal,CatBoost,ok,782,742,40,2000,2020,2021,2026,0.20678292708460677,0.19625060481289958,0.03930177633447963,0.031491380340918314,103.09386064617559
