feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.1031462974330842,0.0779233658695163,13.238233636193858,6.450882729420032,38.49828879751389
external_covariates,literature_2019_2020,A,XGBoost,ok,815,100,48,0.1323472335024758,0.0555929963416503,13.020936373196934,6.468841393966675,40.76065144064079
baseline,literature_2019_2020,B,PLSR,ok,815,100,28,0.0415903219826175,-0.0033590374766729,2.1280788400220074,0.983772852249528,235.2347119433284
external_covariates,literature_2019_2020,B,HistGBR,ok,815,100,48,0.0743471456037224,-0.1050723740898917,2.091395602496716,1.0360554918952194,258.3174674139263
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.1522246323393635,0.0814012843302676,48.24813161956772,24.624840304251105,38.768125637723976
external_covariates,literature_2019_2020,C,HistGBR,ok,815,100,48,0.0746345150620741,-0.0060198586570137,50.40768488095071,25.004700853493173,40.03017962332574
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.2024783289243269,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
external_covariates,literature_2019_2020,D,ExtraTrees,ok,815,100,48,0.1008773426138421,-0.1179775000922853,54.58389332235191,23.0223474054594,59.21490079583973
baseline,literature_2019_2020,E,RF,ok,815,100,28,0.1071579497018264,0.0888144104755509,10.608521282616511,7.413776815852195,27.399186387422635
external_covariates,literature_2019_2020,E,CatBoost,ok,815,100,48,0.1245145510365347,0.113918466671135,10.50490187523605,7.03330670854061,26.145724790812675
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
external_covariates,literature_2019_2020,F,XGBoost,ok,815,100,48,0.1377796754060157,0.3039875640354886,79.69413986803819,37.15010133438111,57.37983445828867
baseline,literature_2019_2020,G,CatBoost,ok,815,100,28,-0.0118461066720838,-0.0076511218245511,125.33570776816286,49.23610284659812,37.02019725827784
external_covariates,literature_2019_2020,G,XGBoost,ok,815,100,82,0.0298252676845467,-0.0392833943672508,122.72769145125656,50.675428936157225,40.72043761090817
baseline,literature_2019_2020,H,RF,ok,815,100,28,0.4234550387085234,0.4193783180570465,0.2711049384504586,0.1173496231058444,88.42645304150848
external_covariates,literature_2019_2020,H,ExtraTrees,ok,815,100,82,0.5105851216334321,0.5455954613310906,0.2497810127990627,0.1043036903311279,79.86434088990164
baseline,temporal_2021_2026,A,LightGBM,ok,915,57,28,0.2645018258554941,0.1502540165160568,13.911134179363684,7.52808028071739,51.188661584218345
external_covariates,temporal_2021_2026,A,LightGBM,ok,915,57,82,0.3559395832302198,0.3378233184401457,13.017723551855784,6.382051814751802,40.556702751362
baseline,temporal_2021_2026,B,ElasticNet,ok,915,57,28,0.4412719531887863,0.2890797889040265,2.6850233109202963,1.3451517030951257,366.4735840460662
external_covariates,temporal_2021_2026,B,ElasticNet,ok,915,57,48,0.5044481796883015,0.3553736146948899,2.5286711996754008,1.2633616104791845,367.1861829598666
baseline,temporal_2021_2026,C,RF,ok,915,57,28,-0.0729022852354077,-0.3879651585666619,37.5138207687432,27.728152680777296,77.17139801662155
external_covariates,temporal_2021_2026,C,LightGBM,ok,915,57,48,-0.0289754854420889,-0.4568827935566641,36.73784927623287,28.25119973684941,82.89500848461185
baseline,temporal_2021_2026,D,PLSR,ok,915,57,28,0.1770215089747001,0.2327229265116996,38.992588398243925,16.314160887855817,37.306168763767104
external_covariates,temporal_2021_2026,D,ElasticNet,ok,915,57,82,0.2026140716512073,0.302171512666348,38.381514412946274,15.360117057180757,33.59012033934569
baseline,temporal_2021_2026,E,PLSR,ok,915,57,28,0.3617345819020019,0.211976105248363,15.81614370152429,8.434954737829893,26.341107697387763
external_covariates,temporal_2021_2026,E,LightGBM,ok,915,57,82,0.54656182297403,0.2914925546571355,13.330885131052888,7.593433830458509,23.53458312911728
baseline,temporal_2021_2026,F,HistGBR,ok,915,57,28,-0.0198355278171038,-0.3254686902218968,969.8784534193396,211.01992215464537,60.63075853821179
external_covariates,temporal_2021_2026,F,HistGBR,ok,915,57,48,-0.0137227281386904,-0.299426902956744,966.9674039216626,212.16577083037643,64.71860398006024
baseline,temporal_2021_2026,G,CatBoost,ok,915,57,28,-1.1915167624447425,-0.5961200717121347,58.52762623348741,35.78146580122178,53.65029093970384
external_covariates,temporal_2021_2026,G,CatBoost,ok,915,57,48,-1.3640248715480876,-0.7234855487097589,60.787534996657975,37.27045856393279,57.11923410227768
baseline,temporal_2021_2026,H,NGBoost,ok,915,57,28,0.1500193735246826,0.2261128525774643,0.7333443664561747,0.2061245943951866,164.96471458510405
external_covariates,temporal_2021_2026,H,NGBoost,ok,915,57,48,0.1435712865612673,0.2100502719607688,0.7361207438539172,0.2053114090183844,170.00838386728554
