protocol,target,baseline,external_covariates,delta_r2
literature_2019_2020,A,0.1031462974330842,0.1323472335024758,0.029200936069391586
literature_2019_2020,B,0.0415903219826175,0.0743471456037224,0.032756823621104894
literature_2019_2020,C,0.1522246323393635,0.0746345150620741,-0.07759011727728941
literature_2019_2020,D,0.2024783289243269,0.1008773426138421,-0.10160098631048481
literature_2019_2020,E,0.1071579497018264,0.1245145510365347,0.017356601334708302
literature_2019_2020,F,0.1028483466874236,0.1377796754060157,0.034931328718592114
literature_2019_2020,G,-0.0118461066720838,0.0298252676845467,0.0416713743566305
literature_2019_2020,H,0.4234550387085234,0.5105851216334321,0.08713008292490865
temporal_2021_2026,A,0.2645018258554941,0.3559395832302198,0.0914377573747257
temporal_2021_2026,B,0.4412719531887863,0.5044481796883015,0.06317622649951515
temporal_2021_2026,C,-0.0729022852354077,-0.0289754854420889,0.0439267997933188
temporal_2021_2026,D,0.1770215089747001,0.2026140716512073,0.025592562676507197
temporal_2021_2026,E,0.3617345819020019,0.54656182297403,0.18482724107202808
temporal_2021_2026,F,-0.0198355278171038,-0.0137227281386904,0.0061127996784134005
temporal_2021_2026,G,-1.1915167624447425,-1.3640248715480876,-0.17250810910334513
temporal_2021_2026,H,0.1500193735246826,0.1435712865612673,-0.006448086963415284
