target,quantile,year,mean_probability,high_prob_050_rate,high_prob_080_rate
C,0.9000,2027,0.0925,0.0000,0.0000
C,0.9000,2030,0.0925,0.0000,0.0000
C,0.9000,2035,0.0925,0.0000,0.0000
F,0.9000,2027,0.9196,1.0000,0.6964
F,0.9000,2030,0.9196,1.0000,0.6964
F,0.9000,2035,0.9196,1.0000,0.6964
G,0.9000,2027,0.0000,0.0000,0.0000
G,0.9000,2030,0.0000,0.0000,0.0000
G,0.9000,2035,0.0000,0.0000,0.0000
C,0.9500,2027,0.0813,0.0000,0.0000
C,0.9500,2030,0.0813,0.0000,0.0000
C,0.9500,2035,0.0813,0.0000,0.0000
F,0.9500,2027,0.7465,0.6964,0.6964
F,0.9500,2030,0.7465,0.6964,0.6964
F,0.9500,2035,0.7465,0.6964,0.6964
G,0.9500,2027,0.0000,0.0000,0.0000
G,0.9500,2030,0.0000,0.0000,0.0000
G,0.9500,2035,0.0000,0.0000,0.0000
