protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,local_analog_memory_ml,XGBoost,ok,815,100,64,0.12164823748068143,-0.011443590140085558,13.100970760112494,7.198163250274657,47.27432056955183
literature_2019_2020,B,local_analog_memory_ml,ElasticNet,ok,815,100,64,0.06977041730163114,-0.21209369820263158,2.0965594968763677,1.11050720512754,314.2430638940678
literature_2019_2020,C,local_analog_memory_ml,XGBoost,ok,815,100,64,0.026554310156884586,0.003291788311026056,51.70064562973227,24.399734886627193,38.08201790088505
literature_2019_2020,D,local_analog_memory_ml,CatBoost,ok,815,100,64,0.09341285641967434,-0.1646903584581425,54.81000183330812,23.298770472833997,57.68943443715607
literature_2019_2020,E,local_analog_memory_ml,CatBoost,ok,815,100,64,0.10321865061225244,0.07722998425541716,10.631898398516988,7.342006717234705,27.50966107009617
literature_2019_2020,F,local_analog_memory_ml,CatBoost,ok,815,100,64,0.15015133062972486,0.3075545404329806,79.12032436973892,36.85496969092594,58.42667646203936
literature_2019_2020,G,local_analog_memory_ml,NGBoost,ok,815,100,64,0.017901500181261465,-0.12666699349818344,123.47957020359607,51.48749086734508,41.88658532813446
literature_2019_2020,H,local_analog_direct,AnalogIDW,ok,815,100,19,0.40746101640268506,0.4547125412310117,0.27483959656493256,0.10745018847347129,78.05090234270283
temporal_2022_2026,A,local_analog_memory_ml,XGBoost,ok,938,34,64,0.2289230417205197,0.21082844618571317,16.864612019171815,7.326824374928194,50.763320764673345
temporal_2022_2026,B,local_analog_memory_ml,LightGBM,ok,938,34,64,0.3131245285704618,0.19280454139694825,1.704470947264089,0.8213995728590835,295.9347051326349
temporal_2022_2026,C,local_analog_memory_ml,ElasticNet,ok,938,34,64,0.06714557809175803,-0.21737610131850116,32.857768204648345,22.782459785400018,64.34888166094156
temporal_2022_2026,D,local_analog_memory_ml,LightGBM,ok,938,34,64,0.2879669865795169,0.4825427470902337,42.52675079422871,16.26440034050106,29.33042579396701
temporal_2022_2026,E,local_analog_memory_ml,NGBoost,ok,938,34,64,0.536801423697371,0.2102161708361463,16.561832404176638,9.42416889723917,27.800927349932387
temporal_2022_2026,F,local_analog_memory_ml,LightGBM,ok,938,34,64,0.26200006270505305,-0.5567702848215503,69.10598132275591,46.38015400095037,38.520026975043415
temporal_2022_2026,G,local_analog_memory_ml,NGBoost,ok,938,34,64,0.10029130008306664,-0.1441134850946666,26.026541515279952,19.349828810764205,38.90396906892587
temporal_2022_2026,H,local_analog_memory_ml,ElasticNet,ok,938,34,64,0.03347488992427483,0.06693160977934076,0.2318209291901688,0.11152241754213649,176.47270307342876
